title,url,published_at,video_id
Ripplez Adventures by Rabbitical [Medium Demon],https://youtu.be/LQ3FywDKM2U,2022-01-01T18:06:43Z,LQ3FywDKM2U
ClutterStep by Lyod [Easy Demon],https://youtu.be/83New-Yq_hI,2022-01-01T16:58:23Z,83New-Yq_hI
(Happy New Year!) ICE Carbon Diablo X by Roadbose [Insane Demon],https://youtu.be/9F3vXKUTe2o,2021-12-31T11:53:09Z,9F3vXKUTe2o
(120 hz) ICE Carbon Diablo X 95%...,https://youtu.be/jbcSAtcf1Ls,2021-12-30T17:03:21Z,jbcSAtcf1Ls
Cosmic Overdrive by Madman123 [Medium Demon],https://youtu.be/bcF4Wh_PgKM,2021-12-22T23:27:39Z,bcF4Wh_PgKM
(120 hz) ICE Carbon Diablo X 69% [Nice Demon],https://youtu.be/ye5EORVkLX8,2021-11-24T15:13:20Z,ye5EORVkLX8
[First in Russia] (Mobile) Hate War (old) by Stormfly & others [Extreme Demon],https://youtu.be/fn-Fql7FxKY,2021-10-21T12:45:38Z,fn-Fql7FxKY
(Mobile) The Triple Trial by Michigun [Insane],https://youtu.be/tIFBeavkeOU,2021-03-31T11:12:08Z,tIFBeavkeOU
Mobile Challenge IV by lisik2K,https://youtu.be/SV5iFRQjFYg,2020-10-11T03:37:55Z,SV5iFRQjFYg
[First in Russia] (Mobile) Alphabet X by BlackP2Sfull [Insane Demon],https://youtu.be/GNwAjZCTIR4,2020-09-29T10:24:30Z,GNwAjZCTIR4
(Mobile) Hate War (unnerfed) 17-56% [Extreme Demon],https://youtu.be/sT-qZARsQHk,2020-07-21T10:49:12Z,sT-qZARsQHk
(Mobile) Lustre by G4lvatron + 2 coins [Hard 5*],https://youtu.be/NZzlPa10zY4,2020-07-06T00:57:13Z,NZzlPa10zY4
(Mobile) Hate War 72% [Extreme Demon],https://youtu.be/FEKCk6vNKQ0,2020-06-19T05:04:14Z,FEKCk6vNKQ0
Mobile Challenge II by lisik2K,https://youtu.be/dnNUo6CGWu8,2020-06-13T05:11:58Z,dnNUo6CGWu8
(Mobile) Hate War 57% [Extreme Demon],https://youtu.be/56ipLEWL2gk,2020-06-04T05:49:49Z,56ipLEWL2gk
DarnocDynamix by TheRealDarnoc [Easy Demon],https://youtu.be/3Okk0iR05U4,2020-05-21T13:21:13Z,3Okk0iR05U4
Electro Rand by Player [Easy Demon],https://youtu.be/9ua24jIy4fQ,2020-05-04T03:44:47Z,9ua24jIy4fQ
Ddays by ThisIsPailyn [Easy Demon],https://youtu.be/kvZicV92bL4,2020-05-04T03:34:14Z,kvZicV92bL4
Clubstep v2 by IIINEPTUNEIII [Easy Demon],https://youtu.be/xzrUZ2YIhek,2020-05-02T11:49:40Z,xzrUZ2YIhek
Darkness Keeper by AbstractDark + 3 coins [Medium Demon],https://youtu.be/wQYxLbe23OY,2020-05-02T06:04:05Z,wQYxLbe23OY
(Mobile) Nowise by Darwin + 1 coin [Medium Demon],https://youtu.be/_M7DyBof33o,2020-04-24T10:26:00Z,_M7DyBof33o
EXTRAVAGANT by IIIJaylexIII + 1 coin [Easy Demon],https://youtu.be/ecJv_iErM9s,2020-04-19T01:23:01Z,ecJv_iErM9s
Operation by Jax [Easy Demon],https://youtu.be/HV1_dQMh7cc,2020-04-18T13:23:00Z,HV1_dQMh7cc
IceStream by Player [Easy Demon],https://youtu.be/tdwUmiilY0Y,2020-04-18T13:10:43Z,tdwUmiilY0Y
(Mobile tournament) Wcropolis by KeyDashMaster [Idk demon],https://youtu.be/FKBuMFHfnI0,2020-04-14T10:58:30Z,FKBuMFHfnI0
Stereodynamix by Player [Easy Demon],https://youtu.be/6IHVTr5t27Y,2020-04-14T10:24:12Z,6IHVTr5t27Y
(Secret Way) GREEN DEMON by Player [Easy Demon],https://youtu.be/cidu7K-EbAk,2020-04-11T13:50:30Z,cidu7K-EbAk
Five nights Pollapo by Pollapo [Easy Demon],https://youtu.be/CLLhv71JDN0,2020-04-05T01:01:31Z,CLLhv71JDN0
Nine Circles by Zobros + 3 coins [Medium Demon],https://youtu.be/wzMowPQPEbI,2020-04-02T11:44:27Z,wzMowPQPEbI
Terminal of Impact by Krijovnik [Easy Demon],https://youtu.be/kPGbuk3y5Wg,2020-03-26T03:35:34Z,kPGbuk3y5Wg
(Mobile) Hate War 27-100% [Extreme Demon],https://youtu.be/TEUhVvrExkY,2020-03-10T01:37:31Z,TEUhVvrExkY
Windings by Xnail + 3 coins [Medium Demon],https://youtu.be/aDoWcY2Oabo,2020-02-14T16:19:15Z,aDoWcY2Oabo
(Rebeat) Lights and Thunder by Lyod [Easy Demon],https://youtu.be/87_n2H__MWQ,2020-02-14T16:03:37Z,87_n2H__MWQ
(Rebeat) Impulse by MrCheeseTigrr [Easy Demon],https://youtu.be/FO9aSVPmxAE,2020-02-13T02:17:30Z,FO9aSVPmxAE
Cyber paradise by tunar98 [Easy Demon],https://youtu.be/kTQ9pgsck2w,2020-02-11T11:34:47Z,kTQ9pgsck2w
WilDrop by Discordy + 3 coins [Easy Demon],https://youtu.be/_zOteWIWdzE,2020-02-10T08:31:34Z,_zOteWIWdzE
Cydonia by JacobROso [Easy Demon],https://youtu.be/RwP3oQmLgy4,2020-02-09T12:12:03Z,RwP3oQmLgy4
(Demon way) 3 Difficulties by ToToo [Normal],https://youtu.be/C8hqZvWNR0s,2020-02-09T11:53:51Z,C8hqZvWNR0s
